,0,1,2,3,4,5,6,7,8
#Costard_LLL,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
#MUSICIANS_LLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#Boy_LLL,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
#LORDS_LLL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
#Dumaine_LLL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#Berowne_LLL,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
#Katherine_LLL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
#Maria_LLL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
#Jaquenetta_LLL,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
#Longaville_LLL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#Dull_LLL,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
#Forester_LLL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#Nathaniel_LLL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
#Rosaline_LLL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
#Armado_LLL,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
#BLACKAMOORS_LLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#Princess_LLL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
#Marcade_LLL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#King_LLL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#Boyet_LLL,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
#Holofernes_LLL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
